Price,price,returns,position,cash,equity
Ticker,AAPL,,,,
Date,,,,,
2021-01-19,124.32007598876953,0.005427000777322055,0.0,10000,[10423.56708019]
2021-01-20,128.40475463867188,0.03285614666348291,0.0,10000,[10766.04532893]
2021-01-21,133.11184692382812,0.03665823978560523,0.0,10000,[10766.04532893]
2021-01-22,135.25143432617188,0.01607360615744513,0.0,10000,[10766.04532893]
2021-01-25,138.9957275390625,0.027683944584727227,0.0,10000,[10766.04532893]
2021-01-26,139.2291259765625,0.001679177062722248,0.0,10000,[10766.04532893]
2021-01-27,138.15936279296875,-0.007683472664863467,0.0,10000,[10766.04532893]
2021-01-28,133.32579040527344,-0.03498548552904379,0.0,10000,[10766.04532893]
2021-01-29,128.33668518066406,-0.03742040613030595,0.0,10000,[10766.04532893]
2021-02-01,130.4568328857422,0.016520199988752315,0.0,10000,[10943.90255086]
2021-02-02,131.28347778320312,0.006336539675042774,0.0,10000,[10943.90255086]
2021-02-03,130.2622833251953,-0.007778545139504711,0.0,10000,[10943.90255086]
2021-02-04,133.61761474609375,0.02575827273441811,0.0,10000,[10943.90255086]
2021-02-05,133.20364379882812,-0.0030981764496564868,0.0,10000,[10943.90255086]
2021-02-08,133.34974670410156,0.0010968386532586027,0.0,10000,[10943.90255086]
2021-02-09,132.47311401367188,-0.006573935924864549,0.0,10000,[10943.90255086]
2021-02-10,131.86927795410156,-0.004558178193863505,0.0,10000,[10943.90255086]
2021-02-11,131.61599731445312,-0.0019206948242834754,0.0,10000,[10943.90255086]
2021-02-12,131.8497772216797,0.0017762271456107648,0.0,10000,[10963.34140765]
2021-02-16,129.72647094726562,-0.01610398075109476,0.0,10000,[10786.78796865]
2021-02-17,127.43759155273438,-0.017643888543469988,0.0,10000,[10596.46708399]
2021-02-18,126.33695983886719,-0.008636633040979391,0.0,10000,[10504.94928625]
2021-02-19,126.4927978515625,0.0012335108656569282,0.0,10000,[10517.90725534]
2021-02-22,122.72343444824219,-0.029799035734379142,0.0,10000,[10204.48376119]
2021-02-23,122.58706665039062,-0.0011111797715298577,0.0,10000,[10193.14474525]
2021-02-24,122.09036254882812,-0.004051847516500784,0.0,10000,[10151.84367703]
2021-02-25,117.84371948242188,-0.03478278692724723,0.0,10000,[9798.7342615]
2021-02-26,118.1067123413086,0.0022317087413890047,0.0,10000,[9820.6021824]
2021-03-01,124.4668960571289,0.053851162137512176,0.0,10000,[10349.45302281]
2021-03-02,121.8663330078125,-0.020893612130592376,0.0,10000,[10133.21556559]
2021-03-03,118.88589477539062,-0.024456617007018733,0.0,10000,[9885.39139345]
2021-03-04,117.00608825683594,-0.01581185490596826,0.0,10000,[9729.08501905]
2021-03-05,118.26254272460938,0.010738368289139322,0.0,10000,[9833.5595171]
2021-03-08,113.33412170410156,-0.04167355873604306,0.0,10000,[9423.76009698]
2021-03-09,117.94110870361328,0.04064960252252958,0.0,10000,[9806.83219919]
2021-03-10,116.85999298095703,-0.009166572491472014,0.0,10000,[9716.93716093]
2021-03-11,118.78851318359375,0.0165028266170697,0.0,10000,[9877.29409014]
2021-03-12,117.88268280029297,-0.007625572195695152,0.0,10000,[9801.97407096]
2021-03-15,120.76570892333984,0.024456739994041854,0.0,10000,[10041.69840224]
2021-03-16,122.30464172363281,0.012743127283506128,0.0,10000,[10169.66104312]
2021-03-17,121.51567840576172,-0.006450804374652286,0.0,10000,[10169.66104312]
2021-03-18,117.39566802978516,-0.033905175282971656,0.0,10000,[10169.66104312]
2021-03-19,116.86971282958984,-0.004480192574583541,0.0,10000,[10124.09900323]
2021-03-22,120.18132019042969,0.028335890288945675,0.0,10000,[10410.97436186]
2021-03-23,119.35340118408203,-0.006888915890055136,0.0,10000,[10410.97436186]
2021-03-24,116.9671401977539,-0.01999323825424737,0.0,10000,[10410.97436186]
2021-03-25,117.4541244506836,0.00416342788330426,0.0,10000,[10454.31970281]
2021-03-26,118.05799102783203,0.005141297336067385,0.0,10000,[10508.06846885]
2021-03-29,118.23332214355469,0.0014851270481244239,0.0,10000,[10523.67428556]
2021-03-30,116.78207397460938,-0.012274442962731391,0.0,10000,[10394.50204578]
2021-03-31,118.97356414794922,0.018765638413103636,0.0,10000,[10589.56151266]
2021-04-01,119.80145263671875,0.006958591975440909,0.0,10000,[10589.56151266]
2021-04-05,122.62603759765625,0.023577217961644026,0.0,10000,[10589.56151266]
2021-04-06,122.92799377441406,0.002462414856366335,0.0,10000,[10589.56151266]
2021-04-07,124.57402801513672,0.013390231062774038,0.0,10000,[10589.56151266]
2021-04-08,126.97005462646484,0.01923375722455556,0.0,10000,[10589.56151266]
2021-04-09,129.54141235351562,0.020251686388696122,0.0,10000,[10589.56151266]
2021-04-12,127.82719421386719,-0.013232973984955265,0.0,10000,[10589.56151266]
2021-04-13,130.93421936035156,0.024306448761489907,0.0,10000,[10589.56151266]
2021-04-14,128.59664916992188,-0.01785301200747469,0.0,10000,[10589.56151266]
2021-04-15,131.0023956298828,0.018707691650519553,0.0,10000,[10589.56151266]
2021-04-16,130.67124938964844,-0.002527787668631265,0.0,10000,[10589.56151266]
2021-04-19,131.3335418701172,0.005068387143784436,0.0,10000,[10589.56151266]
2021-04-20,129.6485595703125,-0.012829794093812352,0.0,10000,[10589.56151266]
2021-04-21,130.02841186523438,0.0029298612817667546,0.0,10000,[10589.56151266]
2021-04-22,128.50897216796875,-0.011685443784704708,0.0,10000,[10589.56151266]
2021-04-23,130.8271026611328,0.01803866651531627,0.0,10000,[10589.56151266]
